V1 [mV],	Vout[V],	phase [°],	freq [kHz]
Vin,		Vout,		phase,		freq
301,		9.06,		-0.3,		1
299,		8.97,		3,		10
299,		8.95,		5,		13
299,		8.87,		9.9,		27
299,		8.70,		15,		41
299,		8.45,		20,		56
299,		8.16,		25,		71
300,		7.80,		30,		88
299,		7.35,		35,		108
299,		6.88,		40,		129
299,		6.37,		45,		153
299,		5.74,		50,		184
300,		5.16,		55,		220
300,		4.43,		60,		270
301,		3.76,		65,		333
300,		3.02,		70,		430
300,		2.28,		76,		590
302,		1.62,		79,		840
298,		0.807,		86,		1700
284,		0.340,		90,		4000
