second,Volt,Volt
x,1,2
-25.00000E-03,-8.23924323E+00,+1.52049314E+00
-24.97500E-03,-8.42454474E+00,+225.73811E-03
-24.95000E-03,-7.50431860E+00,+204.53836E-03
-24.92500E-03,-6.67674322E+00,+163.70921E-03
-24.90000E-03,-5.95987764E+00,+106.39137E-03
-24.87500E-03,-5.31760376E+00,+57.71047E-03
-24.85000E-03,-4.71851456E+00,+31.79966E-03
-24.82500E-03,-4.20343918E+00,+16.88132E-03
-24.80000E-03,-3.74097058E+00,+5.10368E-03
-24.77500E-03,-3.33110877E+00,-10.59984E-03
-24.75000E-03,-2.98798691E+00,-32.58476E-03
-24.72500E-03,-2.66135374E+00,-54.56968E-03
-24.70000E-03,-2.38575701E+00,-78.12496E-03
-24.67500E-03,-2.11408615E+00,-100.10989E-03
-24.65000E-03,-1.89266655E+00,-117.38376E-03
-24.62500E-03,-1.68459494E+00,-130.73175E-03
-24.60000E-03,-1.50400449E+00,-142.50938E-03
-24.57500E-03,-1.34775449E+00,-150.36114E-03
-24.55000E-03,-1.23861504E+00,-158.21290E-03
-24.52500E-03,-1.07843916E+00,-162.13878E-03
-24.50000E-03,-971.65524E-03,-164.49431E-03
-24.47500E-03,-869.58237E-03,-169.20536E-03
-24.45000E-03,-820.11629E-03,-172.34607E-03
-24.42500E-03,-707.83614E-03,-175.48677E-03
-24.40000E-03,-656.01453E-03,-175.48677E-03
-24.37500E-03,-612.82986E-03,-175.48677E-03
-24.35000E-03,-531.95674E-03,-176.27195E-03
-24.32500E-03,-476.99443E-03,-176.27195E-03
-24.30000E-03,-455.00950E-03,-176.27195E-03
-24.27500E-03,-435.38011E-03,-176.27195E-03
-24.25000E-03,-396.12131E-03,-177.05712E-03
-24.22500E-03,-348.22558E-03,-177.05712E-03
-24.20000E-03,-308.18161E-03,-177.84230E-03
-24.17500E-03,-281.48563E-03,-177.84230E-03
-24.15000E-03,-265.78212E-03,-178.62747E-03
-24.12500E-03,-261.07106E-03,-178.62747E-03
-24.10000E-03,-250.86377E-03,-178.62747E-03
-24.07500E-03,-244.58237E-03,-180.19783E-03
-24.05000E-03,-236.73061E-03,-180.19783E-03
-24.02500E-03,-224.95297E-03,-180.98300E-03
-24.00000E-03,-212.39016E-03,-180.98300E-03
-23.97500E-03,-200.61252E-03,-180.98300E-03
-23.95000E-03,-188.04970E-03,-181.76818E-03
-23.92500E-03,-177.05724E-03,-182.55335E-03
-23.90000E-03,-166.84995E-03,-181.76818E-03
-23.87500E-03,-157.42784E-03,-182.55335E-03
-23.85000E-03,-149.57608E-03,-182.55335E-03
-23.82500E-03,-141.72433E-03,-182.55335E-03
-23.80000E-03,-136.22809E-03,-182.55335E-03
-23.77500E-03,-130.73186E-03,-182.55335E-03
-23.75000E-03,-124.45046E-03,-182.55335E-03
-23.72500E-03,-120.52458E-03,-181.76818E-03
