second,Volt,Volt
x,1,2
-250.0000E-03,-321.6080E-03,-2.4120603E+00
-249.7500E-03,-402.0100E-03,-2.5427135E+00
-249.5000E-03,-537.6884E-03,-2.6532663E+00
-249.2500E-03,-643.2161E-03,-2.7336683E+00
-249.0000E-03,-763.8191E-03,-2.8140703E+00
-248.7500E-03,-819.0955E-03,-2.8944723E+00
-248.5000E-03,-974.8744E-03,-2.9748743E+00
-248.2500E-03,-1.0804020E+00,-3.0552763E+00
-248.0000E-03,-1.2060301E+00,-3.2160804E+00
-247.7500E-03,-1.2864321E+00,-3.2964824E+00
-247.5000E-03,-1.3668342E+00,-3.3768844E+00
-247.2500E-03,-1.5276382E+00,-3.4572864E+00
-247.0000E-03,-1.6080402E+00,-3.5376884E+00
-246.7500E-03,-1.7135678E+00,-3.6180904E+00
-246.5000E-03,-1.8492462E+00,-3.6984924E+00
-246.2500E-03,-1.9296482E+00,-3.7788944E+00
-246.0000E-03,-2.0251256E+00,-3.9396985E+00
-245.7500E-03,-2.1708542E+00,-3.9396985E+00
-245.5000E-03,-2.2512563E+00,-4.1005025E+00
-245.2500E-03,-2.3969849E+00,-4.1809045E+00
-245.0000E-03,-2.4924623E+00,-4.2613065E+00
-244.7500E-03,-2.5728643E+00,-4.3417085E+00
-244.5000E-03,-2.6532663E+00,-4.4221105E+00
-244.2500E-03,-2.7889447E+00,-4.5025125E+00
-244.0000E-03,-2.8944723E+00,-4.5276381E+00
-243.7500E-03,-2.9748743E+00,-4.5829145E+00
-243.5000E-03,-3.1055276E+00,-4.7437185E+00
-243.2500E-03,-3.2160804E+00,-4.7437185E+00
-243.0000E-03,-3.2964824E+00,-4.8944723E+00
-242.7500E-03,-3.3768844E+00,-4.9045226E+00
-242.5000E-03,-3.4572864E+00,-4.9999999E+00
-242.2500E-03,-3.6030150E+00,-5.0653266E+00
-242.0000E-03,-3.6984924E+00,-5.1005025E+00
-241.7500E-03,-3.7788944E+00,-5.1507537E+00
-241.5000E-03,-3.8592964E+00,-5.2261306E+00
-241.2500E-03,-3.9849246E+00,-5.3065326E+00
-241.0000E-03,-4.0201005E+00,-5.3819095E+00
-240.7500E-03,-4.1507537E+00,-5.4371859E+00
-240.5000E-03,-4.2613065E+00,-5.4673366E+00
-240.2500E-03,-4.3366834E+00,-5.5477386E+00
-240.0000E-03,-4.4221105E+00,-5.6281406E+00
-239.7500E-03,-4.5025125E+00,-5.6281406E+00
-239.5000E-03,-4.5829145E+00,-5.6281406E+00
-239.2500E-03,-4.6633165E+00,-5.6281406E+00
-239.0000E-03,-4.7437185E+00,-5.6281406E+00
-238.7500E-03,-4.8241206E+00,-5.6281406E+00
-238.5000E-03,-4.9045226E+00,-5.6281406E+00
-238.2500E-03,-4.9849246E+00,-5.6984924E+00
-238.0000E-03,-5.0653266E+00,-5.6281406E+00
-237.7500E-03,-5.1457286E+00,-5.6281406E+00
-237.5000E-03,-5.2261306E+00,-5.6281406E+00
-237.2500E-03,-5.3065326E+00,-5.6281406E+00
-237.0000E-03,-5.3869346E+00,-5.6834170E+00
-236.7500E-03,-5.4673366E+00,-5.6281406E+00
-236.5000E-03,-5.5477386E+00,-5.6281406E+00
-236.2500E-03,-5.5477386E+00,-5.6884422E+00
-236.0000E-03,-5.6281406E+00,-5.6281406E+00
-235.7500E-03,-5.7487437E+00,-5.6281406E+00
-235.5000E-03,-5.7889447E+00,-5.6984924E+00
