second,Volt,Volt
x-axis,1,2
+0.0E+00,+2.564045474E+00,+2.513569E-03
+1.563E-06,+2.616789192E+00,+2.513569E-03
+3.125E-06,+2.669532910E+00,+2.513569E-03
+4.688E-06,+2.669532910E+00,+2.513569E-03
+6.250E-06,+2.775020346E+00,+2.513569E-03
+7.813E-06,+2.775020346E+00,+2.513569E-03
+9.375E-06,+2.827764064E+00,+2.513569E-03
+10.938E-06,+2.880507782E+00,+968.343E-06
+12.500E-06,+2.880507782E+00,+2.513569E-03
+14.063E-06,+2.985995218E+00,+2.513569E-03
+15.625E-06,+2.985995218E+00,+2.513569E-03
+17.188E-06,+3.091482654E+00,+2.513569E-03
+18.750E-06,+3.091482654E+00,+2.513569E-03
+20.313E-06,+3.144226372E+00,+968.343E-06
+21.875E-06,+3.196970090E+00,+2.513569E-03
+23.438E-06,+3.249713808E+00,+2.513569E-03
+25.000E-06,+3.302457526E+00,+4.161811E-03
+26.563E-06,+3.355201244E+00,+2.616584E-03
+28.125E-06,+3.407944962E+00,+2.513569E-03
+29.688E-06,+3.460688680E+00,+2.513569E-03
+31.250E-06,+3.460688680E+00,+2.513569E-03
+32.813E-06,+3.513432398E+00,+2.513569E-03
+34.375E-06,+3.566176116E+00,+2.513569E-03
+35.938E-06,+3.671663553E+00,+2.513569E-03
+37.500E-06,+3.622216317E+00,+2.513569E-03
+39.063E-06,+3.724407271E+00,+2.513569E-03
+40.625E-06,+3.777150989E+00,+2.513569E-03
+42.188E-06,+3.829894707E+00,+2.513569E-03
+43.750E-06,+3.882638425E+00,+2.513569E-03
+45.313E-06,+3.882638425E+00,+968.343E-06
+46.875E-06,+3.935382143E+00,+2.513569E-03
+48.438E-06,+3.988125861E+00,+2.513569E-03
+50.000E-06,+4.040869579E+00,+2.513569E-03
+51.563E-06,+4.146357015E+00,+2.513569E-03
+53.125E-06,+4.199100733E+00,+2.513569E-03
+54.688E-06,+4.199100733E+00,+2.513569E-03
+56.250E-06,+4.251844451E+00,+2.513569E-03
+57.813E-06,+4.357331887E+00,+2.513569E-03
+59.375E-06,+4.357331887E+00,+2.513569E-03
+60.938E-06,+4.410075605E+00,+2.513569E-03
+62.500E-06,+4.515563041E+00,+2.513569E-03
+64.063E-06,+4.515563041E+00,+2.513569E-03
+65.625E-06,+4.568306759E+00,+968.343E-06
+67.188E-06,+4.621050477E+00,+2.513569E-03
+68.750E-06,+4.673794195E+00,+2.513569E-03
+70.313E-06,+4.673794195E+00,+2.513569E-03
+71.875E-06,+4.779281631E+00,+2.513569E-03
+73.438E-06,+4.832025349E+00,+2.513569E-03
+75.000E-06,+4.884769067E+00,+2.513569E-03
